id	original_sentence	auxiliary_sentence	label_id	label
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	anecdotes	4	none
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	food	4	none
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	ambience	4	none
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	service	3	conflict
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	price	4	none
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	anecdotes	4	none
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	food	0	positive
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	ambience	0	positive
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	service	2	negative
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	price	4	none
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	anecdotes	4	none
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	food	0	positive
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	ambience	4	none
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	service	0	positive
1033	Delivery is fast too.	price	4	none
1033	Delivery is fast too.	anecdotes	4	none
1033	Delivery is fast too.	food	4	none
1033	Delivery is fast too.	ambience	4	none
1033	Delivery is fast too.	service	0	positive
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	price	4	none
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	anecdotes	4	none
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	food	0	positive
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	ambience	4	none
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	service	0	positive
1035	A little overpriced but worth it once you take a bite.	price	3	conflict
1035	A little overpriced but worth it once you take a bite.	anecdotes	4	none
1035	A little overpriced but worth it once you take a bite.	food	0	positive
1035	A little overpriced but worth it once you take a bite.	ambience	4	none
1035	A little overpriced but worth it once you take a bite.	service	4	none
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	price	3	conflict
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	anecdotes	4	none
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	food	0	positive
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	ambience	4	none
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	service	4	none
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	price	4	none
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	anecdotes	4	none
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	food	4	none
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	ambience	2	negative
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	service	1	neutral
1039	The decor is really blah, and not at all hip or happening.	price	4	none
1039	The decor is really blah, and not at all hip or happening.	anecdotes	4	none
1039	The decor is really blah, and not at all hip or happening.	food	4	none
1039	The decor is really blah, and not at all hip or happening.	ambience	2	negative
1039	The decor is really blah, and not at all hip or happening.	service	4	none
1040	So, for good food i'd recommend it, but not for a fun night out.	price	4	none
1040	So, for good food i'd recommend it, but not for a fun night out.	anecdotes	4	none
1040	So, for good food i'd recommend it, but not for a fun night out.	food	0	positive
1040	So, for good food i'd recommend it, but not for a fun night out.	ambience	2	negative
1040	So, for good food i'd recommend it, but not for a fun night out.	service	4	none
1041	The people in the restaurant were pretty obnoxious and loud.	price	4	none
1041	The people in the restaurant were pretty obnoxious and loud.	anecdotes	4	none
1041	The people in the restaurant were pretty obnoxious and loud.	food	4	none
1041	The people in the restaurant were pretty obnoxious and loud.	ambience	2	negative
1041	The people in the restaurant were pretty obnoxious and loud.	service	4	none
1044	Even after they overcharged me the last time I was there.	price	4	none
1044	Even after they overcharged me the last time I was there.	anecdotes	4	none
1044	Even after they overcharged me the last time I was there.	food	4	none
1044	Even after they overcharged me the last time I was there.	ambience	4	none
1044	Even after they overcharged me the last time I was there.	service	2	negative
1045	Make sure you have the Spicy Scallop roll.. .	price	4	none
1045	Make sure you have the Spicy Scallop roll.. .	anecdotes	4	none
1045	Make sure you have the Spicy Scallop roll.. .	food	0	positive
1045	Make sure you have the Spicy Scallop roll.. .	ambience	4	none
1045	Make sure you have the Spicy Scallop roll.. .	service	4	none
1046	it's delicious!	price	4	none
1046	it's delicious!	anecdotes	4	none
1046	it's delicious!	food	0	positive
1046	it's delicious!	ambience	4	none
1046	it's delicious!	service	4	none
1047	Mizu is the Japenese find in Grammercy.	price	4	none
1047	Mizu is the Japenese find in Grammercy.	anecdotes	0	positive
1047	Mizu is the Japenese find in Grammercy.	food	4	none
1047	Mizu is the Japenese find in Grammercy.	ambience	4	none
1047	Mizu is the Japenese find in Grammercy.	service	4	none
1049	Mizu is home to creative and unique rolls not to found anywhere else.	price	4	none
1049	Mizu is home to creative and unique rolls not to found anywhere else.	anecdotes	4	none
1049	Mizu is home to creative and unique rolls not to found anywhere else.	food	0	positive
1049	Mizu is home to creative and unique rolls not to found anywhere else.	ambience	4	none
1049	Mizu is home to creative and unique rolls not to found anywhere else.	service	4	none
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	price	4	none
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	anecdotes	4	none
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	food	0	positive
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	ambience	4	none
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	service	0	positive
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	price	4	none
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	anecdotes	0	positive
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	food	4	none
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	ambience	4	none
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	service	4	none
1052	Good bagels and good cream cheese.	price	4	none
1052	Good bagels and good cream cheese.	anecdotes	4	none
1052	Good bagels and good cream cheese.	food	0	positive
1052	Good bagels and good cream cheese.	ambience	4	none
1052	Good bagels and good cream cheese.	service	4	none
1053	None of that yucky whipped stuff.	price	4	none
1053	None of that yucky whipped stuff.	anecdotes	4	none
1053	None of that yucky whipped stuff.	food	0	positive
1053	None of that yucky whipped stuff.	ambience	4	none
1053	None of that yucky whipped stuff.	service	4	none
1054	But they don't have a toaster, which is strange.	price	4	none
1054	But they don't have a toaster, which is strange.	anecdotes	4	none
1054	But they don't have a toaster, which is strange.	food	4	none
1054	But they don't have a toaster, which is strange.	ambience	4	none
1054	But they don't have a toaster, which is strange.	service	2	negative
1055	Great bagels made the old-fashioned way.	price	4	none
1055	Great bagels made the old-fashioned way.	anecdotes	4	none
1055	Great bagels made the old-fashioned way.	food	0	positive
1055	Great bagels made the old-fashioned way.	ambience	4	none
1055	Great bagels made the old-fashioned way.	service	4	none
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	price	0	positive
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	anecdotes	4	none
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	food	0	positive
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	ambience	4	none
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	service	4	none
1057	Drawbacks: service is slow and they don't toast!	price	4	none
1057	Drawbacks: service is slow and they don't toast!	anecdotes	4	none
1057	Drawbacks: service is slow and they don't toast!	food	4	none
1057	Drawbacks: service is slow and they don't toast!	ambience	4	none
1057	Drawbacks: service is slow and they don't toast!	service	2	negative
1058	Never fails to please.	price	4	none
1058	Never fails to please.	anecdotes	0	positive
1058	Never fails to please.	food	4	none
1058	Never fails to please.	ambience	4	none
1058	Never fails to please.	service	4	none
1059	delicious bagels, especially when right out of the oven.	price	4	none
1059	delicious bagels, especially when right out of the oven.	anecdotes	4	none
1059	delicious bagels, especially when right out of the oven.	food	0	positive
1059	delicious bagels, especially when right out of the oven.	ambience	4	none
1059	delicious bagels, especially when right out of the oven.	service	4	none
1060	Spreads and toppings are great - though a bit pricey.	price	2	negative
1060	Spreads and toppings are great - though a bit pricey.	anecdotes	4	none
1060	Spreads and toppings are great - though a bit pricey.	food	0	positive
1060	Spreads and toppings are great - though a bit pricey.	ambience	4	none
1060	Spreads and toppings are great - though a bit pricey.	service	4	none
1061	Service is fast and friendly.	price	4	none
1061	Service is fast and friendly.	anecdotes	4	none
1061	Service is fast and friendly.	food	4	none
1061	Service is fast and friendly.	ambience	4	none
1061	Service is fast and friendly.	service	0	positive
1062	Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	price	4	none
1062	Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	anecdotes	4	none
1062	Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	food	4	none
1062	Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	ambience	4	none
1062	Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	service	2	negative
1063	But that is highly forgivable.	price	4	none
1063	But that is highly forgivable.	anecdotes	0	positive
1063	But that is highly forgivable.	food	4	none
1063	But that is highly forgivable.	ambience	4	none
1063	But that is highly forgivable.	service	4	none
1064	Very neighborhoody, very quick and sufficient.	price	4	none
1064	Very neighborhoody, very quick and sufficient.	anecdotes	4	none
1064	Very neighborhoody, very quick and sufficient.	food	4	none
1064	Very neighborhoody, very quick and sufficient.	ambience	0	positive
1064	Very neighborhoody, very quick and sufficient.	service	4	none
1065	Nothing fancy but really good food with pretty reasonable price.	price	0	positive
1065	Nothing fancy but really good food with pretty reasonable price.	anecdotes	4	none
1065	Nothing fancy but really good food with pretty reasonable price.	food	0	positive
1065	Nothing fancy but really good food with pretty reasonable price.	ambience	4	none
1065	Nothing fancy but really good food with pretty reasonable price.	service	4	none
1066	Other apetizers and food	price	4	none
1066	Other apetizers and food	anecdotes	4	none
1066	Other apetizers and food	food	1	neutral
1066	Other apetizers and food	ambience	4	none
1066	Other apetizers and food	service	4	none
1067	Compared to Ess-a, Tal offers a less doughy bagel!	price	4	none
1067	Compared to Ess-a, Tal offers a less doughy bagel!	anecdotes	4	none
1067	Compared to Ess-a, Tal offers a less doughy bagel!	food	1	neutral
1067	Compared to Ess-a, Tal offers a less doughy bagel!	ambience	4	none
1067	Compared to Ess-a, Tal offers a less doughy bagel!	service	4	none
1068	They even scoop it out nice (for those on a diet) not too much not to little.	price	4	none
1068	They even scoop it out nice (for those on a diet) not too much not to little.	anecdotes	4	none
1068	They even scoop it out nice (for those on a diet) not too much not to little.	food	4	none
1068	They even scoop it out nice (for those on a diet) not too much not to little.	ambience	4	none
1068	They even scoop it out nice (for those on a diet) not too much not to little.	service	0	positive
1069	The cream cheeses are out of this world and I love that coffee!!	price	4	none
1069	The cream cheeses are out of this world and I love that coffee!!	anecdotes	4	none
1069	The cream cheeses are out of this world and I love that coffee!!	food	0	positive
1069	The cream cheeses are out of this world and I love that coffee!!	ambience	4	none
1069	The cream cheeses are out of this world and I love that coffee!!	service	4	none
1070	A little crowded but they move that line really fast!	price	4	none
1070	A little crowded but they move that line really fast!	anecdotes	4	none
1070	A little crowded but they move that line really fast!	food	4	none
1070	A little crowded but they move that line really fast!	ambience	2	negative
1070	A little crowded but they move that line really fast!	service	0	positive
1071	A little pricey but it really hits the spot on a Sunday morning!	price	2	negative
1071	A little pricey but it really hits the spot on a Sunday morning!	anecdotes	0	positive
1071	A little pricey but it really hits the spot on a Sunday morning!	food	4	none
1071	A little pricey but it really hits the spot on a Sunday morning!	ambience	4	none
1071	A little pricey but it really hits the spot on a Sunday morning!	service	4	none
1074	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.	price	4	none
1074	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.	anecdotes	1	neutral
1074	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.	food	4	none
1074	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.	ambience	4	none
1074	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.	service	4	none
1077	A cheap eat for NYC, but not for dosa.	price	3	conflict
1077	A cheap eat for NYC, but not for dosa.	anecdotes	4	none
1077	A cheap eat for NYC, but not for dosa.	food	4	none
1077	A cheap eat for NYC, but not for dosa.	ambience	4	none
1077	A cheap eat for NYC, but not for dosa.	service	4	none
1078	The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.	price	4	none
1078	The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.	anecdotes	4	none
1078	The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.	food	0	positive
1078	The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.	ambience	4	none
1078	The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.	service	4	none
1080	The highly spiced chai tea was great too.	price	4	none
1080	The highly spiced chai tea was great too.	anecdotes	4	none
1080	The highly spiced chai tea was great too.	food	0	positive
1080	The highly spiced chai tea was great too.	ambience	4	none
1080	The highly spiced chai tea was great too.	service	4	none
1081	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!	price	2	negative
1081	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!	anecdotes	4	none
1081	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!	food	4	none
1081	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!	ambience	4	none
1081	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!	service	2	negative
1082	So, the menu is written in chalk above your head and it all sounds delicious.	price	4	none
1082	So, the menu is written in chalk above your head and it all sounds delicious.	anecdotes	4	none
1082	So, the menu is written in chalk above your head and it all sounds delicious.	food	0	positive
1082	So, the menu is written in chalk above your head and it all sounds delicious.	ambience	0	positive
1082	So, the menu is written in chalk above your head and it all sounds delicious.	service	4	none
1085	Trust me, it will be great, and all of it will be devoured in no time.	price	4	none
1085	Trust me, it will be great, and all of it will be devoured in no time.	anecdotes	4	none
1085	Trust me, it will be great, and all of it will be devoured in no time.	food	0	positive
1085	Trust me, it will be great, and all of it will be devoured in no time.	ambience	4	none
1085	Trust me, it will be great, and all of it will be devoured in no time.	service	4	none
1086	You can even get packages of the chutneys to stock your fridge!	price	4	none
1086	You can even get packages of the chutneys to stock your fridge!	anecdotes	4	none
1086	You can even get packages of the chutneys to stock your fridge!	food	0	positive
1086	You can even get packages of the chutneys to stock your fridge!	ambience	4	none
1086	You can even get packages of the chutneys to stock your fridge!	service	0	positive
1087	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	price	4	none
1087	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	anecdotes	4	none
1087	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	food	2	negative
1087	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	ambience	4	none
1087	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	service	4	none
1088	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	price	4	none
1088	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	anecdotes	4	none
1088	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	food	2	negative
1088	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	ambience	4	none
1088	The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	service	4	none
1089	The sandwiches are dry, tasteless and way overpriced.	price	2	negative
1089	The sandwiches are dry, tasteless and way overpriced.	anecdotes	4	none
1089	The sandwiches are dry, tasteless and way overpriced.	food	2	negative
1089	The sandwiches are dry, tasteless and way overpriced.	ambience	4	none
1089	The sandwiches are dry, tasteless and way overpriced.	service	4	none
109	I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.	price	4	none
